latin	shavian	part of speech	pronunciation	frequency
smuggler	𐑕𐑥𐑳𐑜𐑩𐑤𐑼			14
snazzy	𐑕𐑯𐑨𐑟𐑦			14
sniffles	𐑕𐑯𐑦𐑓𐑩𐑤𐑟			14
snorting	𐑕𐑯𐑹𐑑𐑦𐑙			14
snub	𐑕𐑯𐑳𐑚			14
snubbed	𐑕𐑯𐑳𐑚𐑛			14
sociable	𐑕𐑴𐑖𐑩𐑚𐑩𐑤			14
socked	𐑕𐑪𐑒𐑑			14
sopranos	𐑕𐑩𐑐𐑮𐑨𐑯𐑴𐑟			14
sorbet	𐑕𐑹𐑚𐑱			14
soulful	𐑕𐑴𐑤𐑓𐑩𐑤			14
spaniel	𐑕𐑐𐑨𐑯𐑘𐑩𐑤			14
spectacularly	𐑕𐑐𐑧𐑒𐑑𐑨𐑒𐑿𐑤𐑼𐑤𐑦			14
spelt	𐑕𐑐𐑧𐑤𐑑			14
spores	𐑕𐑐𐑹𐑟			14
sprite	𐑕𐑐𐑮𐑲𐑑			14
squatters	𐑕𐑒𐑢𐑪𐑑𐑼𐑟			14
squatting	𐑕𐑒𐑢𐑪𐑑𐑦𐑙			14
stalks	𐑕𐑑𐑷𐑒𐑕			14
stealthy	𐑕𐑑𐑧𐑤𐑔𐑦			14
stems	𐑕𐑑𐑧𐑥𐑟			14
stools	𐑕𐑑𐑵𐑤𐑟			14
stooping	𐑕𐑑𐑵𐑐𐑦𐑙			14
straits	𐑕𐑑𐑮𐑱𐑑𐑕			14
strategically	𐑕𐑑𐑮𐑩𐑑𐑰𐑡𐑦𐑒𐑤𐑦			14
streetcar	𐑕𐑑𐑮𐑰𐑑𐑒𐑸			14
strumpet	𐑕𐑑𐑮𐑳𐑥𐑐𐑩𐑑			14
stupidly	𐑕𐑑𐑵𐑐𐑦𐑛𐑤𐑦			14
subsidies	𐑕𐑳𐑚𐑕𐑦𐑛𐑦𐑟			14
sudan	𐑕𐑵𐑛𐑨𐑯			14
sunflower	𐑕𐑳𐑯𐑓𐑤𐑬𐑼			14
superpowers	𐑕𐑵𐑐𐑼𐑐𐑬𐑼𐑟			14
surfboard	𐑕𐑻𐑓𐑚𐑹𐑛			14
surrounds	𐑕𐑼𐑬𐑯𐑛𐑟			14
sweatshop	𐑕𐑢𐑧𐑑𐑖𐑪𐑐			14
swimmingly	𐑕𐑢𐑦𐑥𐑦𐑙𐑤𐑦			14
sycophant	𐑕𐑦𐑒𐑩𐑓𐑨𐑯𐑑			14
symmetrical	𐑕𐑦𐑥𐑧𐑑𐑮𐑦𐑒𐑩𐑤			14
symptomatic	𐑕𐑦𐑥𐑐𐑑𐑩𐑥𐑨𐑑𐑦𐑒			14
synchronize	𐑕𐑦𐑙𐑒𐑮𐑩𐑯𐑲𐑟			14
synonymous	𐑕𐑦𐑯𐑪𐑯𐑦𐑥𐑩𐑕			14
tablecloths	𐑑𐑱𐑚𐑩𐑤𐑒𐑤𐑪𐑔𐑕			14
tanking	𐑑𐑨𐑙𐑒𐑦𐑙			14
tassels	𐑑𐑨𐑕𐑩𐑤𐑟			14
techs	𐑑𐑧𐑒𐑕			14
thins	𐑔𐑦𐑯𐑟			14
thrall	𐑔𐑮𐑷𐑤			14
thrower	𐑔𐑮𐑴𐑼			14
totem	𐑑𐑴𐑑𐑩𐑥			14
touchdowns	𐑑𐑳𐑗𐑛𐑬𐑯𐑟			14
tournaments	𐑑𐑫𐑼𐑯𐑩𐑥𐑩𐑯𐑑𐑕			14
transgression	𐑑𐑮𐑨𐑯𐑟𐑜𐑮𐑧𐑖𐑩𐑯			14
transient	𐑑𐑮𐑨𐑯𐑟𐑾𐑯𐑑			14
transpired	𐑑𐑮𐑨𐑯𐑕𐑐𐑲𐑼𐑛			14
treads	𐑑𐑮𐑧𐑛𐑟			14
tropic	𐑑𐑮𐑪𐑐𐑦𐑒			14
troubadour	𐑑𐑮𐑵𐑚𐑩𐑛𐑹			14
tulip	𐑑𐑵𐑤𐑦𐑐			14
turds	𐑑𐑻𐑛𐑟			14
turret	𐑑𐑳𐑮𐑩𐑑			14
tuxedos	𐑑𐑳𐑒𐑕𐑰𐑛𐑴𐑟			14
typhoid	𐑑𐑲𐑓𐑶𐑛			14
tyres	𐑑𐑲𐑼𐑟			14
unappealing	𐑳𐑯𐑩𐑐𐑰𐑤𐑦𐑙			14
unchanged	𐑳𐑯𐑗𐑱𐑯𐑡𐑛			14
underpaid	𐑳𐑯𐑛𐑼𐑐𐑱𐑛			14
undertake	𐑳𐑯𐑛𐑼𐑑𐑱𐑒			14
undesirable	𐑳𐑯𐑛𐑦𐑟𐑲𐑼𐑩𐑚𐑩𐑤			14
unfolding	𐑳𐑯𐑓𐑴𐑤𐑛𐑦𐑙			14
unfriendly	𐑳𐑯𐑓𐑮𐑧𐑯𐑛𐑤𐑦			14
unmistakable	𐑳𐑯𐑥𐑦𐑕𐑑𐑱𐑒𐑩𐑚𐑩𐑤			14
unprovoked	𐑳𐑯𐑐𐑮𐑩𐑝𐑴𐑒𐑑			14
updating	𐑳𐑐𐑛𐑱𐑑𐑦𐑙			14
uptake	𐑳𐑐𐑑𐑱𐑒			14
utilities	𐑿𐑑𐑦𐑤𐑦𐑑𐑦𐑟			14
varnish	𐑝𐑸𐑯𐑦𐑖			14
ventricle	𐑝𐑧𐑯𐑑𐑮𐑦𐑒𐑩𐑤			14
ventures	𐑝𐑧𐑯𐑗𐑼𐑟			14
verbatim	𐑝𐑼𐑚𐑱𐑑𐑦𐑥			14
versatile	𐑝𐑻𐑕𐑩𐑑𐑲𐑤			14
vertebrae	𐑝𐑻𐑑𐑦𐑚𐑮𐑦			14
voter	𐑝𐑴𐑑𐑼			14
vying	𐑝𐑲𐑦𐑙			14
waddle	𐑢𐑪𐑛𐑩𐑤			14
wagging	𐑢𐑨𐑜𐑦𐑙			14
wail	𐑢𐑱𐑤			14
watchful	𐑢𐑪𐑗𐑓𐑩𐑤			14
waterford	𐑢𐑷𐑑𐑼𐑓𐑼𐑛			14
waterworks	𐑢𐑷𐑑𐑼𐑢𐑻𐑒𐑕			14
weir	𐑢𐑽			14
wetter	𐑢𐑧𐑑𐑼			14
wholly	𐑣𐑴𐑤𐑦			14
whopping	𐑢𐑪𐑐𐑦𐑙			14
windmills	𐑢𐑦𐑯𐑛𐑥𐑦𐑤𐑟			14
winks	𐑢𐑦𐑙𐑒𐑕			14
withered	𐑢𐑦𐑞𐑼𐑛			14
wording	𐑢𐑻𐑛𐑦𐑙			14
wrinkly	𐑮𐑦𐑙𐑒𐑤𐑦			14
yuletide	𐑿𐑤𐑑𐑲𐑛			14
zeroed	𐑟𐑽𐑴𐑛			14
zipping	𐑟𐑦𐑐𐑦𐑙			14
zooming	𐑟𐑵𐑥𐑦𐑙			14
approximate	𐑩𐑐𐑮𐑪𐑒𐑕𐑦𐑥𐑱𐑑	VB		14
entrances	𐑧𐑯𐑑𐑮𐑩𐑯𐑕𐑩𐑟	NNS		14
entrances	𐑦𐑯𐑑𐑮𐑨𐑯𐑕𐑩𐑟	VBZ		14
moped	𐑥𐑴𐑐𐑑	VB		14
abnormalities	𐑨𐑚𐑯𐑹𐑥𐑨𐑤𐑦𐑑𐑦𐑟			13
abortions	𐑩𐑚𐑹𐑖𐑩𐑯𐑟			13
absorbing	𐑩𐑚𐑕𐑹𐑚𐑦𐑙			13
accelerating	𐑩𐑒𐑕𐑧𐑤𐑼𐑱𐑑𐑦𐑙			13
accommodation	𐑩𐑒𐑪𐑥𐑩𐑛𐑱𐑖𐑩𐑯			13
acrobat	𐑨𐑒𐑮𐑩𐑚𐑨𐑑			13
adjustable	𐑩𐑡𐑳𐑕𐑑𐑩𐑚𐑩𐑤			13
adobe	𐑩𐑛𐑴𐑚𐑦			13
advent	𐑨𐑛𐑝𐑧𐑯𐑑			13
advertisers	𐑨𐑛𐑝𐑻𐑑𐑲𐑟𐑼𐑟			13
affiliates	𐑩𐑓𐑦𐑤𐑾𐑑𐑕@𐑩𐑓𐑦𐑤𐑦𐑱𐑑𐑕			13
ageless	𐑱𐑡𐑤𐑩𐑕			13
airing	𐑺𐑦𐑙			13
ambience	𐑨𐑥𐑚𐑾𐑯𐑕			13
amenities	𐑩𐑥𐑧𐑯𐑦𐑑𐑦𐑟			13
amor	𐑭𐑥𐑹			13
anecdotes	𐑨𐑯𐑦𐑒𐑛𐑴𐑑𐑕			13
angora	𐑨𐑙𐑜𐑹𐑩			13
angus	𐑨𐑙𐑜𐑩𐑕			13
anomalies	𐑩𐑯𐑪𐑥𐑩𐑤𐑦𐑟			13
antagonistic	𐑨𐑯𐑑𐑨𐑜𐑩𐑯𐑦𐑕𐑑𐑦𐑒			13
anxiously	𐑨𐑙𐑒𐑖𐑩𐑕𐑤𐑦			13
apparition	𐑨𐑐𐑼𐑦𐑖𐑩𐑯			13
appendicitis	𐑩𐑐𐑧𐑯𐑛𐑦𐑕𐑲𐑑𐑦𐑕			13
arguably	𐑸𐑜𐑿𐑩𐑚𐑤𐑦			13
argumentative	𐑸𐑜𐑿𐑥𐑧𐑯𐑑𐑩𐑑𐑦𐑝			13
astrophysics	𐑨𐑕𐑑𐑮𐑴𐑓𐑦𐑟𐑦𐑒𐑕			13
axle	𐑨𐑒𐑕𐑩𐑤			13
baa	𐑚𐑭			13
backhand	𐑚𐑨𐑒𐑣𐑨𐑯𐑛			13
baited	𐑚𐑱𐑑𐑩𐑛			13
ballast	𐑚𐑨𐑤𐑩𐑕𐑑			13
balled	𐑚𐑷𐑤𐑛			13
bard	𐑚𐑸𐑛			13
barometer	𐑚𐑼𐑪𐑥𐑦𐑑𐑼			13
barricaded	𐑚𐑨𐑮𐑦𐑒𐑱𐑛𐑩𐑛			13
baste	𐑚𐑱𐑕𐑑			13
battering	𐑚𐑨𐑑𐑼𐑦𐑙			13
bawl	𐑚𐑷𐑤			13
bayonet	𐑚𐑱𐑩𐑯𐑧𐑑			13
bedlam	𐑚𐑧𐑛𐑤𐑩𐑥			13
begat	𐑚𐑦𐑜𐑨𐑑			13
belgrade	𐑚𐑧𐑤𐑜𐑮𐑱𐑛			13
bended	𐑚𐑧𐑯𐑛𐑩𐑛			13
bibliography	𐑚𐑦𐑚𐑤𐑦𐑪𐑜𐑮𐑩𐑓𐑦			13
bigotry	𐑚𐑦𐑜𐑩𐑑𐑮𐑦			13
births	𐑚𐑻𐑔𐑕			13
blackbird	𐑚𐑤𐑨𐑒𐑚𐑻𐑛			13
blackboard	𐑚𐑤𐑨𐑒𐑚𐑹𐑛			13
blisters	𐑚𐑤𐑦𐑕𐑑𐑼𐑟			13
blitz	𐑚𐑤𐑦𐑑𐑕			13
bloc	𐑚𐑤𐑪𐑒			13
bolster	𐑚𐑴𐑤𐑕𐑑𐑼			13
boning	𐑚𐑴𐑯𐑦𐑙			13
bonuses	𐑚𐑴𐑯𐑩𐑕𐑩𐑟			13
boon	𐑚𐑵𐑯			13
botanical	𐑚𐑩𐑑𐑨𐑯𐑦𐑒𐑩𐑤			13
boyhood	𐑚𐑶𐑣𐑫𐑛			13
breakdowns	𐑚𐑮𐑱𐑒𐑛𐑬𐑯𐑟			13
brokerage	𐑚𐑮𐑴𐑒𐑼𐑦𐑡			13
browbeat	𐑚𐑮𐑬𐑚𐑰𐑑			13
budging	𐑚𐑳𐑡𐑦𐑙			13
bulgaria	𐑚𐑳𐑤𐑜𐑺𐑾			13
bullion	𐑚𐑫𐑤𐑾𐑯			13
bunion	𐑚𐑳𐑯𐑘𐑩𐑯			13
burrows	𐑚𐑳𐑮𐑴𐑟			13
bussing	𐑚𐑳𐑕𐑦𐑙			13
busybody	𐑚𐑦𐑟𐑦𐑚𐑪𐑛𐑦			13
butlers	𐑚𐑳𐑑𐑤𐑼𐑟			13
buzzard	𐑚𐑳𐑟𐑼𐑛			13
calamity	𐑒𐑩𐑤𐑨𐑥𐑦𐑑𐑦			13
calcutta	𐑒𐑨𐑤𐑒𐑳𐑑𐑩			13
cali	𐑒𐑭𐑤𐑦			13
calibre	𐑒𐑨𐑤𐑦𐑚𐑼			13
campuses	𐑒𐑨𐑥𐑐𐑩𐑕𐑩𐑟			13
cancers	𐑒𐑨𐑯𐑕𐑼𐑟			13
captivating	𐑒𐑨𐑐𐑑𐑦𐑝𐑱𐑑𐑦𐑙			13
carats	𐑒𐑨𐑮𐑩𐑑𐑕			13
cartridge	𐑒𐑸𐑑𐑮𐑦𐑡			13
cassettes	𐑒𐑩𐑕𐑧𐑑𐑕			13
catapult	𐑒𐑨𐑑𐑩𐑐𐑳𐑤𐑑			13
cavities	𐑒𐑨𐑝𐑦𐑑𐑦𐑟			13
cecilia	𐑕𐑦𐑕𐑰𐑤𐑾			13
celebrates	𐑕𐑧𐑤𐑩𐑚𐑮𐑱𐑑𐑕			13
cemeteries	𐑕𐑧𐑥𐑩𐑑𐑧𐑮𐑦𐑟			13
censorship	𐑕𐑧𐑯𐑕𐑼𐑖𐑦𐑐			13
censure	𐑕𐑧𐑯𐑖𐑼			13
chainsaws	𐑗𐑱𐑯𐑕𐑷𐑟			13
cheapen	𐑗𐑰𐑐𐑩𐑯			13
checkpoints	𐑗𐑧𐑒𐑐𐑶𐑯𐑑𐑕			13
chests	𐑗𐑧𐑕𐑑𐑕			13
chimpanzee	𐑗𐑦𐑥𐑐𐑨𐑯𐑟𐑰			13
chipmunk	𐑗𐑦𐑐𐑥𐑳𐑙𐑒			13
chipping	𐑗𐑦𐑐𐑦𐑙			13
chlorine	𐑒𐑤𐑹𐑰𐑯			13
cinematic	𐑕𐑦𐑯𐑩𐑥𐑨𐑑𐑦𐑒			13
cipher	𐑕𐑲𐑓𐑼			13
cited	𐑕𐑲𐑑𐑩𐑛			13
civilizations	𐑕𐑦𐑝𐑦𐑤𐑲𐑟𐑱𐑖𐑩𐑯𐑟			13
clambake	𐑒𐑤𐑨𐑥𐑚𐑱𐑒			13
classify	𐑒𐑤𐑨𐑕𐑦𐑓𐑲			13
cleanest	𐑒𐑤𐑰𐑯𐑩𐑕𐑑			13
clink	𐑒𐑤𐑦𐑙𐑒			13
clotting	𐑒𐑤𐑪𐑑𐑦𐑙			13
clover	𐑒𐑤𐑴𐑝𐑼			13
clung	𐑒𐑤𐑳𐑙			13
compatibility	𐑒𐑩𐑥𐑐𐑨𐑑𐑩𐑚𐑦𐑤𐑦𐑑𐑦			13
competitions	𐑒𐑪𐑥𐑐𐑩𐑑𐑦𐑖𐑩𐑯𐑟			13
conclusively	𐑒𐑩𐑯𐑒𐑤𐑵𐑕𐑦𐑝𐑤𐑦			13
conducive	𐑒𐑩𐑯𐑛𐑵𐑕𐑦𐑝			13
conservatory	𐑒𐑩𐑯𐑕𐑻𐑝𐑩𐑑𐑹𐑦			13
conversational	𐑒𐑪𐑯𐑝𐑼𐑕𐑱𐑖𐑩𐑯𐑩𐑤			13
cosy	𐑒𐑴𐑟𐑦			13
counties	𐑒𐑬𐑯𐑑𐑦𐑟			13
cowering	𐑒𐑬𐑼𐑦𐑙			13
cramming	𐑒𐑮𐑨𐑥𐑦𐑙			13
cranium	𐑒𐑮𐑱𐑯𐑾𐑥			13
criminology	𐑒𐑮𐑦𐑥𐑦𐑯𐑪𐑤𐑩𐑡𐑦			13
critter	𐑒𐑮𐑦𐑑𐑼			13
crouching	𐑒𐑮𐑬𐑗𐑦𐑙			13
crowns	𐑒𐑮𐑬𐑯𐑟			13
cruelly	𐑒𐑮𐑵𐑩𐑤𐑦			13
cruisers	𐑒𐑮𐑵𐑟𐑼𐑟			13
cruises	𐑒𐑮𐑵𐑟𐑩𐑟			13
crumpets	𐑒𐑮𐑳𐑥𐑐𐑩𐑑𐑕			13
cuddled	𐑒𐑳𐑛𐑩𐑤𐑛			13
culpable	𐑒𐑳𐑤𐑐𐑩𐑚𐑩𐑤			13
cusp	𐑒𐑳𐑕𐑐			13
cutbacks	𐑒𐑳𐑑𐑚𐑨𐑒𐑕			13
cyclotron	𐑕𐑲𐑒𐑤𐑩𐑑𐑮𐑪𐑯			13
czechoslovakia	𐑗𐑧𐑒𐑩𐑕𐑤𐑴𐑝𐑭𐑒𐑾			13
darby	𐑛𐑸𐑚𐑦			13
daunting	𐑛𐑷𐑯𐑑𐑦𐑙			13
dearie	𐑛𐑽𐑦			13
deathly	𐑛𐑧𐑔𐑤𐑦			13
decomposed	𐑛𐑰𐑒𐑩𐑥𐑐𐑴𐑟𐑛			13
deduct	𐑛𐑦𐑛𐑳𐑒𐑑			13
deficiencies	𐑛𐑦𐑓𐑦𐑖𐑩𐑯𐑕𐑦𐑟			13
deity	𐑛𐑰𐑦𐑑𐑦			13
delve	𐑛𐑧𐑤𐑝			13
deplorable	𐑛𐑦𐑐𐑤𐑹𐑩𐑚𐑩𐑤			13
deprecating	𐑛𐑧𐑐𐑮𐑩𐑒𐑱𐑑𐑦𐑙			13
deviation	𐑛𐑰𐑝𐑦𐑱𐑖𐑩𐑯			13
devoting	𐑛𐑦𐑝𐑴𐑑𐑦𐑙			13
dictated	𐑛𐑦𐑒𐑑𐑱𐑑𐑩𐑛			13
dipstick	𐑛𐑦𐑐𐑕𐑑𐑦𐑒			13
disarming	𐑛𐑦𐑕𐑸𐑥𐑦𐑙			13
discounts	𐑛𐑦𐑕𐑒𐑬𐑯𐑑𐑕			13
disintegrated	𐑛𐑦𐑕𐑦𐑯𐑑𐑦𐑜𐑮𐑱𐑑𐑩𐑛			13
disorientation	𐑛𐑦𐑕𐑹𐑾𐑯𐑑𐑱𐑖𐑩𐑯			13
disparaging	𐑛𐑦𐑕𐑐𐑨𐑮𐑦𐑡𐑦𐑙			13
disposing	𐑛𐑦𐑕𐑐𐑴𐑟𐑦𐑙			13
disruptive	𐑛𐑦𐑕𐑮𐑳𐑐𐑑𐑦𐑝			13
dissected	𐑛𐑦𐑕𐑧𐑒𐑑𐑩𐑛			13
dissection	𐑛𐑦𐑕𐑧𐑒𐑖𐑩𐑯			13
dissent	𐑛𐑦𐑕𐑧𐑯𐑑			13
distortion	𐑛𐑦𐑕𐑑𐑹𐑖𐑩𐑯			13
dominion	𐑛𐑩𐑥𐑦𐑯𐑾𐑯			13
downed	𐑛𐑬𐑯𐑛			13
downing	𐑛𐑬𐑯𐑦𐑙			13
downstream	𐑛𐑬𐑯𐑕𐑑𐑮𐑰𐑥			13
drumsticks	𐑛𐑮𐑳𐑥𐑕𐑑𐑦𐑒𐑕			13
duffle	𐑛𐑳𐑓𐑩𐑤			13
dynamo	𐑛𐑲𐑯𐑩𐑥𐑴			13
easel	𐑰𐑟𐑩𐑤			13
ecological	𐑰𐑒𐑩𐑤𐑪𐑡𐑦𐑒𐑩𐑤			13
edinburgh	𐑧𐑛𐑦𐑯𐑚𐑮𐑩			13
efficiently	𐑦𐑓𐑦𐑖𐑩𐑯𐑑𐑤𐑦			13
electrodes	𐑦𐑤𐑧𐑒𐑑𐑮𐑴𐑛𐑟			13
electronically	𐑦𐑤𐑧𐑒𐑑𐑮𐑪𐑯𐑦𐑒𐑤𐑦			13
embarrasses	𐑦𐑥𐑚𐑨𐑮𐑩𐑕𐑩𐑟			13
eminent	𐑧𐑥𐑦𐑯𐑩𐑯𐑑			13
emmanuel	𐑦𐑥𐑨𐑯𐑿𐑩𐑤			13
emphatically	𐑦𐑥𐑓𐑨𐑑𐑦𐑒𐑤𐑦			13
enrolling	𐑦𐑯𐑮𐑴𐑤𐑦𐑙			13
ensign	𐑧𐑯𐑕𐑩𐑯			13
ensuring	𐑦𐑯𐑖𐑫𐑼𐑦𐑙			13
entail	𐑦𐑯𐑑𐑱𐑤			13
enterprising	𐑧𐑯𐑑𐑼𐑐𐑮𐑲𐑟𐑦𐑙			13
envision	𐑦𐑯𐑝𐑦𐑠𐑩𐑯			13
eruption	𐑦𐑮𐑳𐑐𐑖𐑩𐑯			13
esophagus	𐑦𐑕𐑪𐑓𐑩𐑜𐑩𐑕			13
eventful	𐑦𐑝𐑧𐑯𐑑𐑓𐑩𐑤			13
evolving	𐑦𐑝𐑪𐑤𐑝𐑦𐑙			13
exalted	𐑦𐑜𐑟𐑷𐑤𐑑𐑩𐑛			13
exchanges	𐑦𐑒𐑕𐑗𐑱𐑯𐑡𐑩𐑟			13
extricate	𐑧𐑒𐑕𐑑𐑮𐑦𐑒𐑱𐑑			13
fabricate	𐑓𐑨𐑚𐑮𐑦𐑒𐑱𐑑			13
factual	𐑓𐑨𐑒𐑗𐑵𐑩𐑤			13
famed	𐑓𐑱𐑥𐑛			13
familial	𐑓𐑩𐑥𐑦𐑤𐑾𐑤			13
fatalities	𐑓𐑩𐑑𐑨𐑤𐑦𐑑𐑦𐑟			13
federation	𐑓𐑧𐑛𐑼𐑱𐑖𐑩𐑯			13
festering	𐑓𐑧𐑕𐑑𐑼𐑦𐑙			13
finalist	𐑓𐑲𐑯𐑩𐑤𐑦𐑕𐑑			13
fittings	𐑓𐑦𐑑𐑦𐑙𐑟			13
fizzled	𐑓𐑦𐑟𐑩𐑤𐑛			13
flapjacks	𐑓𐑤𐑨𐑐𐑡𐑨𐑒𐑕			13
fleshy	𐑓𐑤𐑧𐑖𐑦			13
flighty	𐑓𐑤𐑲𐑑𐑦			13
floored	𐑓𐑤𐑹𐑛			13
flux	𐑓𐑤𐑳𐑒𐑕			13
foliage	𐑓𐑴𐑤𐑦𐑦𐑡			13
forego	𐑓𐑹𐑜𐑴			13
foregone	𐑓𐑹𐑜𐑪𐑯			13
foxes	𐑓𐑪𐑒𐑕𐑩𐑟			13
fractions	𐑓𐑮𐑨𐑒𐑖𐑩𐑯𐑟			13
franc	𐑓𐑮𐑨𐑙𐑒			13
fraternities	𐑓𐑮𐑩𐑑𐑻𐑯𐑦𐑑𐑦𐑟			13
fray	𐑓𐑮𐑱			13
friendless	𐑓𐑮𐑧𐑯𐑛𐑤𐑩𐑕			13
fruitless	𐑓𐑮𐑵𐑑𐑤𐑩𐑕			13
fumigated	𐑓𐑿𐑥𐑦𐑜𐑱𐑑𐑩𐑛			13
futility	𐑓𐑿𐑑𐑦𐑤𐑦𐑑𐑦			13
galactic	𐑜𐑩𐑤𐑨𐑒𐑑𐑦𐑒			13
galloping	𐑜𐑨𐑤𐑩𐑐𐑦𐑙			13
galloway	𐑜𐑨𐑤𐑩𐑢𐑱			13
garnish	𐑜𐑸𐑯𐑦𐑖			13
gasses	𐑜𐑨𐑕𐑩𐑟			13
gizzard	𐑜𐑦𐑟𐑼𐑛			13
gourd	𐑜𐑫𐑼𐑛			13
gravely	𐑜𐑮𐑱𐑝𐑤𐑦			13
gripping	𐑜𐑮𐑦𐑐𐑦𐑙			13
grits	𐑜𐑮𐑦𐑑𐑕			13
grocer	𐑜𐑮𐑴𐑕𐑼			13
grope	𐑜𐑮𐑴𐑐			13
grossed	𐑜𐑮𐑴𐑕𐑑			13
grossly	𐑜𐑮𐑴𐑕𐑤𐑦			13
gunsights	𐑜𐑳𐑯𐑕𐑲𐑑𐑕			13
halter	𐑣𐑷𐑤𐑑𐑼			13
hamburg	𐑣𐑨𐑥𐑚𐑼𐑜			13
handsomely	𐑣𐑨𐑯𐑛𐑕𐑩𐑥𐑤𐑦			13
happenings	𐑣𐑨𐑐𐑩𐑯𐑦𐑙𐑟			13
haughty	𐑣𐑷𐑑𐑦			13
hawker	𐑣𐑷𐑒𐑼			13
hereafter	𐑣𐑽𐑨𐑓𐑑𐑼			13
hierarchy	𐑣𐑲𐑼𐑸𐑒𐑦			13
hissing	𐑣𐑦𐑕𐑦𐑙			13
hockley	𐑣𐑪𐑒𐑤𐑦			13
hogwash	𐑣𐑪𐑜𐑢𐑪𐑖			13
hollowed	𐑣𐑪𐑤𐑴𐑛			13
honduras	𐑣𐑪𐑯𐑛𐑻𐑩𐑕			13
honours	𐑪𐑯𐑼𐑟			13
horsemen	𐑣𐑹𐑕𐑥𐑧𐑯			13
horseradish	𐑣𐑹𐑕𐑮𐑨𐑛𐑦𐑖			13
hourly	𐑬𐑼𐑤𐑦			13
hubert	𐑣𐑿𐑚𐑼𐑑			13
hue	𐑣𐑿			13
huffy	𐑣𐑳𐑓𐑦			13
hurdles	𐑣𐑻𐑛𐑩𐑤𐑟			13
huts	𐑣𐑳𐑑𐑕			13
hymns	𐑣𐑦𐑥𐑟			13
identifies	𐑲𐑛𐑧𐑯𐑑𐑦𐑓𐑲𐑟			13
ideology	𐑲𐑛𐑦𐑪𐑤𐑩𐑡𐑦			13
imperfections	𐑦𐑥𐑐𐑼𐑓𐑧𐑒𐑖𐑩𐑯𐑟			13
impertinent	𐑦𐑥𐑐𐑻𐑑𐑦𐑯𐑩𐑯𐑑			13
impervious	𐑦𐑥𐑐𐑻𐑝𐑾𐑕			13
improperly	𐑦𐑥𐑐𐑮𐑪𐑐𐑼𐑤𐑦			13
inaccurate	𐑦𐑯𐑨𐑒𐑘𐑼𐑩𐑑			13
inactive	𐑦𐑯𐑨𐑒𐑑𐑦𐑝			13
incoherent	𐑦𐑯𐑒𐑴𐑣𐑽𐑩𐑯𐑑			13
incorrectly	𐑦𐑯𐑒𐑼𐑧𐑒𐑑𐑤𐑦			13
indescribable	𐑦𐑯𐑛𐑦𐑕𐑒𐑮𐑲𐑚𐑩𐑚𐑩𐑤			13
indulged	𐑦𐑯𐑛𐑳𐑤𐑡𐑛			13
influencing	𐑦𐑯𐑓𐑤𐑵𐑩𐑯𐑕𐑦𐑙			13
innkeeper	𐑦𐑯𐑒𐑰𐑐𐑼			13
innocuous	𐑦𐑯𐑪𐑒𐑿𐑩𐑕			13
installments	𐑦𐑯𐑕𐑑𐑷𐑤𐑥𐑩𐑯𐑑𐑕			13
instances	𐑦𐑯𐑕𐑑𐑩𐑯𐑕𐑩𐑟			13
insurmountable	𐑦𐑯𐑕𐑼𐑥𐑬𐑯𐑑𐑩𐑚𐑩𐑤			13
intellectuals	𐑦𐑯𐑑𐑩𐑤𐑧𐑒𐑗𐑵𐑩𐑤𐑟			13
iraqis	𐑦𐑮𐑭𐑒𐑦𐑟			13
irritation	𐑦𐑮𐑦𐑑𐑱𐑖𐑩𐑯			13
jabs	𐑡𐑨𐑚𐑟			13
jezebel	𐑡𐑧𐑟𐑩𐑚𐑩𐑤			13
jiggling	𐑡𐑦𐑜𐑩𐑤𐑦𐑙			13
jilted	𐑡𐑦𐑤𐑑𐑩𐑛			13
juniors	𐑡𐑵𐑯𐑽𐑟			13
jut	𐑡𐑳𐑑			13
kimono	𐑒𐑦𐑥𐑴𐑯𐑴			13
kingston	𐑒𐑦𐑙𐑕𐑑𐑩𐑯			13
kinship	𐑒𐑦𐑯𐑖𐑦𐑐			13
knowledgeable	𐑯𐑪𐑤𐑦𐑡𐑩𐑚𐑩𐑤			13
kobo	𐑒𐑴𐑚𐑴			13
laces	𐑤𐑱𐑕𐑩𐑟			13
landings	𐑤𐑨𐑯𐑛𐑦𐑙𐑟			13
larvae	𐑤𐑸𐑝𐑦			13
launches	𐑤𐑷𐑯𐑗𐑩𐑟			13
legality	𐑤𐑦𐑜𐑨𐑤𐑦𐑑𐑦			13
len	𐑤𐑧𐑯			13
lettering	𐑤𐑧𐑑𐑼𐑦𐑙			13
licensing	𐑤𐑲𐑕𐑩𐑯𐑕𐑦𐑙			13
lighted	𐑤𐑲𐑑𐑩𐑛			13
lightened	𐑤𐑲𐑑𐑩𐑯𐑛			13
lilac	𐑤𐑲𐑤𐑨𐑒			13
limerick	𐑤𐑦𐑥𐑼𐑦𐑒			13
linwood	𐑤𐑦𐑯𐑢𐑫𐑛			13
littered	𐑤𐑦𐑑𐑼𐑛			13
loosening	𐑤𐑵𐑕𐑩𐑯𐑦𐑙			13
lore	𐑤𐑹			13
lorry	𐑤𐑪𐑮𐑦			13
louisa	𐑤𐑵𐑰𐑟𐑩			13
lunged	𐑤𐑳𐑯𐑡𐑛			13
